Sebelum,Sesudah
429,569
443,599
408,612
459,536
401,572
461,563
483,636
417,540
412,527
465,549
431,534
442,551
428,639
449,618
489,589
451,649
443,571
419,536
426,586
416,634
439,634
419,601
469,616
475,648
469,541
411,577
441,632
409,529
458,633
416,572
471,549
488,539
492,629
431,575
480,600
409,557
463,641
435,630
466,629
433,569
452,608
464,546
406,543
454,583
470,561
448,538
421,587
477,598
411,641
416,583
500,612
500,535
461,643
484,520
434,615
496,579
434,587
448,552
481,588
442,560
466,592
478,571
461,531
471,586
437,537
492,572
421,630
466,586
486,555
469,582
476,594
465,621
452,622
495,616
418,594
419,554
404,639
422,614
414,616
409,523
420,649
424,623
462,573
455,537
437,555
492,582
404,621
431,554
423,565
418,578
451,590
486,613
409,565
451,565
496,552
413,544
400,531
471,561
443,588